Listing Name,Price,Room Type,Reviews,Location
HUGE room/ Williamsburg Waterfront!,109,Private room,50 reviews,"Williamsburg, Brooklyn"
Studio Apt in Park Slope- Brooklyn!,121,Entire home/apt,13 reviews,"Greenwood Heights, Brooklyn"
Sunny 1BR with Terrace/City Views,204,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Private brownstone studio Brooklyn,169,Entire home/apt,32 reviews,Brooklyn
Sunny Room/private bath/ Brownstone,115,Private room,29 reviews,"Park Slope, Brooklyn"
Church loft in Williamsburg,327,Entire home/apt,16 reviews,Brooklyn
"Beautiful, cozy apt in lovely nabe!",103,Entire home/apt,52 reviews,"Lefferts Garden, Brooklyn"
"Gorgeous, Sunny Brooklyn Brownstone",212,Entire home/apt,1 review,Brooklyn
Beautiful Private Room with Bath,85,Private room,41 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy charm near Prospect Park,115,Entire home/apt,0 reviews,Brooklyn
Luxury Apt. in Prime Williamsburg,242,Entire home/apt,3 reviews,Brooklyn
Guestroom w/ 2 beds 20 mins to NYC,67,Private room,86 reviews,"Bushwick, Brooklyn"
Cozy room for rent in the Slope,60,Private room,3 reviews,"Gowanus, Brooklyn"
Private bedroom w/breakfast.,73,Private room,6 reviews,Brooklyn
Entire studio apartment!,139,Entire home/apt,24 reviews,Brooklyn
NEW! Airy 2 Bedroom Brownstone,133,Entire home/apt,9 reviews,Brooklyn
Big BR in W'Burg - pvt terrace/view,120,Private room,23 reviews,"Williamsburg, Brooklyn"
"Colorful, quiet, & near the subway!",109,Private room,48 reviews,"Boerum Hill, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,115,Private room,47 reviews,"Fort Greene, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,151,Entire home/apt,28 reviews,"Bedford-Stuyvesant, Brooklyn"
Stunning! Williamsburg Dream Room.,133,Private room,46 reviews,"Williamsburg, Brooklyn"
Sunny+Cozy Double bedroom in BKLYN!,75,Private room,72 reviews,"East Flatbush, Brooklyn"
Sunny Bushwick Apartment / Morgan L,120,Entire home/apt,5 reviews,Brooklyn
"Sunny Private Room,Williamsburg Pad",85,Private room,20 reviews,"Williamsburg, Brooklyn"
Private Bedroom!,67,Private room,8 reviews,Brooklyn
Sunny Victorian Brownstone Apt.,181,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
Bargain Room #1 - Special Low Price,83,Private room,2 reviews,Brooklyn
Roof-Top Room in Williamsburg,155,Entire home/apt,201 reviews,"Williamsburg, Brooklyn"
Homey Townhouse + PRIVATE Bathroom,145,Private room,96 reviews,"Boerum Hill, Brooklyn"
Private room in beautiful loft,82,Private room,38 reviews,"Clinton Hill, Brooklyn"
Bright  1BR Near 7th Ave F Train!,181,Entire home/apt,18 reviews,"Park Slope, Brooklyn"
"Cozy room, great view of Manhattan",108,Private room,32 reviews,"Brooklyn Navy Yard, Brooklyn"
Personal Lofted Treehouse,40,Private room,1 review,Brooklyn
"Quaint Studio, Fort Green, Brooklyn",181,Entire home/apt,0 reviews,Brooklyn
"Convenient, Renovated 2 Bedroom",212,Entire home/apt,37 reviews,"Carroll Gardens, Brooklyn"
Huge Loft in Prime Williamsburg!,133,Private room,8 reviews,Brooklyn
1 Bedroom Sunny Charming Apartment,145,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
Modern Waterfront 2Bed Williamsburg,302,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
The Bushwick 3BR 2BA 20 mins to NYC,218,Entire home/apt,13 reviews,"Bushwick, Brooklyn"
Prime Location in Bed-Stuy,133,Entire home/apt,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Parlor floor in Brooklyn brownstone,115,Entire home/apt,46 reviews,"Crown Heights, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,60,Private room,3 reviews,Brooklyn
Bedroom//Hip Neighborhood//Backyard,48,Private room,63 reviews,"Bushwick, Brooklyn"
Brooklyn Zen,181,Entire home/apt,14 reviews,"Brooklyn Heights, Brooklyn"
Prospect Park. Bikes. Garden.Trendy,79,Private room,5 reviews,Brooklyn
NYC gorgeous private room and bath,86,Private room,64 reviews,"Clinton Hill, Brooklyn"
"Fresh, Clean Brooklyn Garden Apt.",181,Entire home/apt,64 reviews,"Clinton Hill, Brooklyn"
1 bdrm apt GORGEOUS NY SKYLINE VIEW,181,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Charming Cobble Hill apartment!,121,Private room,24 reviews,"Carroll Gardens, Brooklyn"
Quiet Studio in Limestone Townhouse,224,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
Convenient Spacious LUX with VIEW!,115,Private room,41 reviews,"Williamsburg, Brooklyn"
Great Loft - Private Room & Bath,133,Private room,59 reviews,"Windsor Terrace, Brooklyn"
The Brooklyn Woodworker 3bdrm/2bth,362,Entire home/apt,102 reviews,"Crown Heights, Brooklyn"
1 Bedroom with Manhattan Views,169,Entire home/apt,13 reviews,"Downtown Brooklyn, Brooklyn"
Cozy Private Room in Hip Bushwick,79,Private room,10 reviews,Brooklyn
Private Rm in Beautiful Brownstone,67,Private room,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Great room in hip Williamsburg,91,Private room,66 reviews,"Williamsburg, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,229,Entire home/apt,58 reviews,"Williamsburg, Brooklyn"
Bright Peaceful 1 bedroom 2 bath,212,Entire home/apt,0 reviews,"Park Slope, Brooklyn"
Entire Apt in Central Williamsburg,206,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
BRIGHT SPACIOUS 1BR in CLINTON HILL,218,Entire home/apt,8 reviews,"Clinton Hill, Brooklyn"
Lovely Bklyn Heights brownstone 1BR,163,Entire home/apt,16 reviews,"Brooklyn Heights, Brooklyn"
Bargain Room #2 - Special Low Price,83,Private room,1 review,Brooklyn
Private Bedroom,73,Private room,6 reviews,Brooklyn
"Exquisite MasterSuite, Private Bath",133,Entire home/apt,37 reviews,"Gowanus, Brooklyn"
Sunny Spacious Room in Williamsburg,73,Private room,11 reviews,Brooklyn
The Library Loft- The Green Room,59,Private room,1 review,Brooklyn
Large Brand New Park Slope 1BR,157,Entire home/apt,36 reviews,"Gowanus, Brooklyn"
Spacious Heart of Ft. Greene Studio,121,Entire home/apt,27 reviews,"Fort Greene, Brooklyn"
Luxury Flat with Balcony & Office,302,Entire home/apt,11 reviews,Brooklyn
Master Bedroom (Private Entrance),83,Private room,2 reviews,Brooklyn
Gorgeous two bedroom with balcony!,181,Entire home/apt,20 reviews,"Crown Heights, Brooklyn"
Sunny Spacious Williamsburg Apt!,163,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Private Room in Beautiful Brooklyn,79,Private room,11 reviews,Brooklyn
Sunny private room featured in film,114,Private room,77 reviews,"Flatbush, Brooklyn"
"Small Cozy Room, Ideal Location",85,Private room,3 reviews,"Fort Greene, Brooklyn"
Gorgeous Williamsburg 1 Bedroom Apt,253,Entire home/apt,150 reviews,"Williamsburg, Brooklyn"
Mayor's Mansion - Carlton_Suite,163,Private room,6 reviews,Brooklyn
Williamsburg Luxury,284,Entire home/apt,57 reviews,"Williamsburg, Brooklyn"
360° Views - Modern Greenpoint Gem!,224,Entire home/apt,4 reviews,Brooklyn
Sunny WILLIAMSBURG. Home Sweet Home,242,Entire home/apt,77 reviews,"Williamsburg, Brooklyn"
"Unique Bushwick Loft, Great View!",91,Private room,12 reviews,"Williamsburg, Brooklyn"
"Beautiful Studio, Brooklyn Heights",151,Entire home/apt,0 reviews,"Brooklyn Heights, Brooklyn NYC"
"Sunny Room, Backyard, Rooftop by L",91,Private room,3 reviews,Brooklyn
Prospect Heights Pied-a-terre,144,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Historic & Modern in Crown Heights,97,Private room,43 reviews,"Crown Heights, Brooklyn"
Williamsburg Spacious Studio,181,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
"Bright, BedStuy Gem!",91,Entire home/apt,9 reviews,"Bedford-Stuyvesant, Brooklyn"
NICE ROOM #1 ~ AWESOME LOCATION!!,168,Private room,17 reviews,Brooklyn
Lovely Private Room in Brownstone,103,Private room,24 reviews,"Crown Heights, Brooklyn"
GIANT LOFT - HEART of WILLIAMSBURG!,109,Private room,16 reviews,"Williamsburg, Brooklyn"
Brooklyn Living: WiFi & Jacuzzi!,169,Entire home/apt,18 reviews,"Bedford-Stuyvesant, Brooklyn"
Sweet Lil Williamsburg One Bedroom,162,Entire home/apt,43 reviews,"Williamsburg, Brooklyn"
Quintessential Brooklyn...!!,131,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
Newest Building in Williamsburg #2,123,Private room,8 reviews,"Williamsburg, Brooklyn"
X-Large Fort Greene Garden Bedroom,120,Private room,8 reviews,Brooklyn
Dream Loft 10 Min to Manhattan,115,Private room,14 reviews,"Williamsburg, Brooklyn"
Bright and Beautiful Brooklyn Apt.,168,Entire home/apt,33 reviews,"Park Slope, Brooklyn"
Boerum Hill Apartment,139,Entire home/apt,8 reviews,"Flatbush, Brooklyn"
Sunny 1 bedroom apt in Boerum Hill,181,Entire home/apt,8 reviews,Brooklyn
Quiet 2 Bed Facing a Garden,157,Entire home/apt,4 reviews,Brooklyn
carriage house apartment,181,Entire home/apt,67 reviews,"Clinton Hill, Brooklyn"
Sunny 1-BR Apartment in Boerum Hill,217,Entire home/apt,66 reviews,"Boerum Hill, Brooklyn"
Great Price for Perfect Location!,69,Private room,38 reviews,"Williamsburg, Brooklyn"
Huge BR in W'Burg - pvt terrace,132,Private room,4 reviews,"Williamsburg, Brooklyn"
